time,open,high,low,close
1779974400,25041.57,25041.57,25022.2,25023.23
1779974700,25026.58,25030.86,25013.85,25016.23
1779975000,25015.44,25023.71,25008.05,25013.15
1779975300,25012.26,25012.26,24973.25,24976.5
1779975600,24977.88,25029.23,24974.44,25029.13
1779975900,25028.78,25043.99,25017.37,25018.81
1779976200,25017.75,25044.01,24999.93,25001.9
1779976500,25001.38,25041.28,24999.08,25041.28
1779976800,25042.33,25050.29,25018.06,25023.8
1779977100,25023.52,25024.35,25003.67,25006.25
1779977400,25005.19,25244.71,25001.19,25191.97
1779977700,25187.07,25197.17,25139.14,25139.15
1779978000,25139.99,25142.9,25120.13,25127.53
1779978300,25127.14,25129.95,25109.08,25123.23
1779978600,25125.1,25134.29,25087.46,25087.54
1779978900,25087.16,25098.15,25077.88,25090.58
1779979200,25090.37,25122.06,25089.87,25103.67
1779979500,25102.67,25106.29,25052.85,25075.82
1779979800,25077.43,25088.23,25061.12,25061.8
1779980100,25062.47,25063.85,25016.79,25048.41
1779980400,25048.23,25076.16,25045.85,25076.16
1779980700,25077.83,25090.44,25069.2,25071.68
1779981000,25071.08,25082.16,25065.81,25078.26
1779981300,25078.35,25078.79,25050.97,25054.89
1779981600,25054.97,25072.13,25052.15,25072.05
1779981900,25071.39,25100.65,25071.39,25098.52
1780038000,25126.35,25145.38,25107.32,25108.24
1780038300,25104.62,25162.12,25104.62,25156.4
1780038600,25153.31,25158.45,25135.14,25141.86
1780038900,25140.55,25146.51,25114.75,25115.38
1780039200,25114.67,25122.35,25085.04,25101.92
1780039500,25101.56,25124.37,25081.57,25121.61
1780039800,25121.38,25131.25,25108.36,25122.84
1780040100,25123.01,25133.14,25105.75,25122.22
1780040400,25121.03,25129.31,25113.95,25121.91
1780040700,25120.71,25141.02,25115.8,25137.71
1780041000,25137.49,25163.74,25133.7,25162.35
1780041300,25162.02,25171.0,25162.02,25167.59
1780041600,25178.51,25185.11,25154.84,25154.84
1780041900,25155.32,25163.54,25144.93,25153.25
1780042200,25153.5,25178.21,25151.89,25167.36
1780042500,25167.11,25170.82,25163.98,25164.56
1780042800,25164.81,25170.56,25154.92,25159.84
1780043100,25159.73,25173.99,25154.69,25171.12
1780043400,25170.3,25175.18,25157.15,25157.92
1780043700,25157.79,25171.4,25152.65,25153.27
1780044000,25154.16,25160.67,25150.59,25157.15
1780044300,25156.96,25158.66,25137.75,25138.06
1780044600,25138.29,25142.59,25119.16,25135.57
1780044900,25135.12,25141.43,25126.13,25126.13
1780045200,25125.57,25142.21,25114.41,25134.3
1780045500,25134.1,25145.14,25129.69,25145.14
1780045800,25145.16,25163.24,25142.4,25152.26
1780046100,25151.93,25180.16,25145.45,25180.16
1780046400,25179.93,25183.04,25159.2,25160.63
1780046700,25160.3,25175.07,25154.57,25169.71
1780047000,25169.74,25178.91,25166.54,25178.01
1780047300,25178.1,25189.02,25175.48,25181.39
1780047600,25181.58,25184.83,25175.18,25178.03
1780047900,25178.48,25198.73,25177.57,25194.29
1780048200,25201.39,25201.39,25163.66,25167.46
1780048500,25171.81,25175.8,25158.5,25159.07
1780048800,25165.11,25165.11,25147.68,25147.81
1780049100,25147.14,25149.74,25118.45,25119.04
1780049400,25119.07,25129.64,25108.72,25122.37
1780049700,25122.67,25141.4,25121.06,25140.32
